iter	Passed	Remaining
407	5606	8134
408	5619	8120
409	5633	8106
410	5647	8093
411	5660	8078
412	5674	8064
413	5687	8050
414	5701	8036
415	5714	8022
416	5728	8009
417	5742	7994
418	5755	7981
419	5769	7966
420	5782	7952
421	5796	7938
422	5809	7924
423	5823	7910
424	5836	7896
425	5850	7883
426	5864	7869
427	5878	7855
428	5891	7841
429	5905	7827
430	5918	7813
431	5932	7800
432	5945	7786
433	5959	7772
434	5973	7758
435	5986	7744
436	6000	7730
437	6013	7716
438	6027	7702
439	6041	7688
440	6054	7674
441	6068	7660
442	6081	7646
443	6095	7633
444	6109	7620
445	6123	7606
446	6137	7592
447	6151	7579
448	6164	7565
449	6178	7551
450	6192	7537
451	6205	7523
452	6219	7509
453	6233	7496
454	6247	7482
455	6260	7468
456	6274	7455
457	6287	7441
458	6301	7427
459	6315	7413
460	6328	7399
461	6342	7385
462	6356	7372
463	6369	7358
464	6383	7344
465	6397	7330
466	6410	7316
467	6424	7302
468	6437	7289
469	6451	7275
470	6465	7261
471	6478	7247
472	6492	7233
473	6505	7219
474	6519	7205
475	6533	7191
476	6546	7178
477	6560	7164
478	6574	7150
479	6587	7136
480	6601	7122
481	6614	7108
482	6627	7094
483	6641	7080
484	6654	7066
485	6668	7052
486	6682	7038
487	6695	7024
488	6709	7011
489	6722	6997
490	6736	6983
491	6750	6969
492	6763	6955
493	6777	6942
494	6790	6928
495	6804	6914
496	6817	6900
497	6831	6886
498	6844	6872
499	6858	6858
500	6871	6844
501	6885	6830
502	6899	6816
503	6912	6803
504	6926	6789
505	6939	6775
506	6953	6761
507	6967	6747
508	6980	6733
509	6993	6719
510	7007	6705
511	7021	6692
512	7035	6678
513	7049	6665
514	7062	6651
515	7076	6637
516	7089	6623
517	7103	6609
518	7117	6596
519	7131	6582
520	7144	6568
521	7158	6555
522	7172	6541
523	7185	6527
524	7199	6514
525	7213	6500
526	7226	6486
527	7240	6472
528	7254	6458
529	7267	6444
530	7281	6431
531	7294	6417
532	7308	6403
533	7321	6389
534	7335	6375
535	7348	6361
536	7362	6347
537	7375	6333
538	7389	6320
539	7403	6306
540	7416	6292
541	7430	6278
542	7443	6264
543	7457	6251
544	7471	6237
545	7485	6224
546	7498	6210
547	7512	6196
548	7525	6182
549	7539	6168
550	7552	6154
551	7566	6140
552	7579	6126
553	7593	6113
554	7606	6099
555	7620	6085
556	7634	6071
557	7647	6057
558	7661	6044
559	7675	6030
560	7688	6016
561	7702	6002
562	7715	5989
563	7729	5975
564	7743	5961
565	7756	5947
566	7770	5933
567	7783	5920
568	7798	5906
569	7811	5893
570	7825	5879
571	7839	5865
572	7852	5851
573	7865	5837
574	7879	5824
575	7893	5810
576	7906	5796
577	7920	5782
578	7933	5768
579	7947	5755
580	7961	5741
581	7974	5727
582	7988	5713
583	8001	5699
584	8015	5686
585	8029	5672
586	8042	5658
587	8056	5644
588	8069	5630
589	8083	5617
590	8096	5603
591	8110	5589
592	8125	5576
593	8139	5563
594	8152	5549
595	8166	5535
596	8180	5521
597	8193	5508
598	8207	5494
599	8220	5480
600	8234	5466
601	8247	5452
602	8261	5439
603	8274	5425
604	8288	5411
605	8301	5397
606	8315	5383
607	8329	5370
608	8342	5356
609	8356	5342
610	8369	5328
611	8383	5315
612	8397	5301
613	8410	5287
614	8424	5273
615	8437	5259
616	8451	5246
617	8465	5232
618	8479	5219
619	8492	5205
620	8506	5191
621	8520	5177
622	8533	5164
623	8547	5150
624	8560	5136
625	8574	5122
626	8587	5108
627	8601	5094
628	8614	5081
629	8628	5067
630	8641	5053
631	8655	5039
632	8670	5027
633	8686	5014
634	8700	5001
635	8714	4987
636	8727	4973
637	8741	4959
638	8754	4945
639	8768	4932
640	8781	4918
641	8795	4904
642	8808	4890
643	8822	4877
644	8836	4863
645	8850	4849
646	8863	4836
647	8877	4822
648	8891	4808
649	8904	4794
650	8918	4781
651	8932	4767
652	8946	4753
653	8959	4740
654	8973	4726
655	8986	4712
656	9000	4698
657	9013	4685
658	9027	4671
659	9041	4657
660	9055	4644
661	9068	4630
662	9083	4616
663	9096	4603
664	9110	4589
665	9124	4575
666	9138	4562
667	9152	4548
668	9165	4534
669	9179	4521
670	9193	4507
671	9207	4493
672	9220	4480
673	9234	4466
674	9248	4452
675	9262	4439
676	9275	4425
677	9289	4411
678	9302	4397
679	9316	4384
680	9329	4370
681	9343	4356
682	9357	4342
683	9370	4329
684	9383	4315
685	9397	4301
686	9411	4287
687	9424	4274
688	9438	4260
689	9452	4246
690	9465	4232
691	9479	4219
692	9493	4205
693	9506	4191
694	9520	4177
695	9533	4164
696	9547	4150
697	9560	4136
698	9574	4122
699	9588	4109
700	9602	4095
701	9615	4081
702	9629	4068
703	9643	4054
704	9656	4040
705	9670	4026
706	9683	4013
707	9697	3999
708	9710	3985
709	9724	3971
710	9737	3958
711	9751	3944
712	9764	3930
713	9778	3916
714	9792	3903
715	9805	3889
716	9819	3875
717	9833	3862
718	9846	3848
719	9860	3834
720	9873	3820
721	9887	3807
722	9900	3793
723	9915	3779
724	9929	3766
725	9943	3752
726	9956	3738
727	9970	3725
728	9983	3711
729	9997	3697
730	10011	3683
731	10024	3670
732	10038	3656
733	10051	3642
734	10065	3629
735	10078	3615
736	10092	3601
737	10105	3587
738	10119	3574
739	10133	3560
740	10147	3546
741	10160	3532
742	10174	3519
743	10187	3505
744	10201	3491
745	10214	3477
746	10228	3464
747	10241	3450
748	10256	3436
749	10269	3423
750	10283	3409
751	10296	3395
752	10309	3381
753	10323	3368
754	10337	3354
755	10351	3340
756	10364	3327
757	10378	3313
758	10391	3299
759	10404	3285
760	10418	3272
761	10432	3258
762	10446	3244
763	10460	3231
764	10473	3217
765	10487	3203
766	10500	3189
767	10514	3176
768	10528	3162
769	10541	3148
770	10555	3135
771	10569	3121
772	10582	3107
773	10596	3094
774	10610	3080
775	10623	3066
776	10637	3052
777	10651	3039
778	10664	3025
779	10678	3011
780	10692	2998
781	10706	2984
782	10719	2970
783	10733	2957
784	10746	2943
785	10759	2929
786	10773	2915
787	10786	2902
788	10800	2888
789	10814	2874
790	10828	2861
791	10841	2847
792	10855	2833
793	10868	2819
794	10881	2806
795	10895	2792
796	10909	2778
797	10922	2764
798	10936	2751
799	10949	2737
800	10962	2723
801	10976	2709
802	10990	2696
803	11003	2682
804	11017	2668
805	11030	2654
806	11044	2641
807	11058	2627
808	11071	2613
809	11085	2600
810	11099	2586
811	11112	2572
812	11126	2559
813	11140	2545
814	11153	2531
815	11167	2518
816	11182	2504
817	11195	2490
818	11209	2477
819	11222	2463
820	11236	2449
821	11249	2436
822	11263	2422
823	11277	2408
824	11291	2395
825	11305	2381
826	11319	2367
827	11333	2354
828	11347	2340
829	11360	2326
830	11374	2313
831	11388	2299
832	11402	2285
833	11416	2272
834	11430	2258
835	11444	2245
836	11457	2231
837	11471	2217
838	11485	2203
839	11498	2190
840	11512	2176
841	11526	2162
842	11540	2149
843	11553	2135
844	11567	2121
845	11581	2108
846	11594	2094
847	11608	2080
848	11622	2067
849	11636	2053
850	11649	2039
851	11663	2026
852	11676	2012
853	11690	1998
854	11703	1984
