iter	Logloss
0	0.6635713096
1	0.6374730027
2	0.6138587867
3	0.5950168614
4	0.579473485
5	0.5645575257
6	0.5474057539
7	0.53300433
8	0.5202202176
9	0.508229707
10	0.499643056
11	0.4910172637
12	0.4826675165
13	0.4750349238
14	0.4685987917
15	0.4625590474
16	0.4568605073
17	0.4531726215
18	0.448530686
19	0.4443905707
20	0.4411517692
21	0.4379013911
22	0.4356649819
23	0.4338119291
24	0.4311623317
25	0.428250656
26	0.4258221078
27	0.4243656996
28	0.4230995302
29	0.4210425872
30	0.4193070641
31	0.418457692
32	0.4176447404
33	0.4166540197
34	0.4151602173
35	0.4140047913
36	0.4130769669
37	0.4122932253
38	0.4117209301
39	0.410926605
40	0.4100637392
41	0.4087782989
42	0.4077125582
43	0.4073191905
44	0.4061375446
45	0.4052999738
46	0.4046194054
47	0.4040377122
48	0.4032045027
49	0.4022441127
50	0.4015154503
51	0.4009262365
52	0.4004344234
53	0.3999737645
54	0.3998267208
55	0.3994555335
56	0.3991489157
57	0.3984451618
58	0.3979683652
59	0.3977438268
60	0.3975761629
61	0.3972765962
62	0.3966479464
63	0.3962485383
64	0.3959891187
65	0.3952712961
66	0.3950472711
67	0.3948676048
68	0.3947016335
69	0.3944618359
70	0.3941197472
71	0.3936502525
72	0.3936209954
73	0.393444553
74	0.3932199392
75	0.3930680351
76	0.3927510116
77	0.3926770665
78	0.3923258313
79	0.3919439255
80	0.3914012212
81	0.3912144374
82	0.391044602
83	0.3910445964
84	0.3907758205
85	0.3904614192
86	0.3901901912
87	0.3898578211
88	0.3895361951
89	0.3893639177
90	0.3892272885
91	0.3890610285
92	0.3886982081
93	0.3884498096
94	0.3882625089
95	0.3882332113
96	0.388115631
97	0.3876460118
98	0.3873614969
99	0.3873528062
100	0.3873456044
101	0.3867540212
102	0.3865671515
103	0.3864408819
104	0.3864060057
105	0.3863517824
106	0.3861670447
107	0.3859382585
108	0.3856549897
109	0.3853826178
110	0.3851083783
111	0.3848685702
112	0.384621426
113	0.3844247859
114	0.3844121908
115	0.3842765449
116	0.3837673534
117	0.3837221086
118	0.3836745733
119	0.3831870859
120	0.3831869932
121	0.3831245104
122	0.3830980085
123	0.3829622178
124	0.3829520232
125	0.3827986744
126	0.3827847644
127	0.3826616023
128	0.3824409632
129	0.3820395288
130	0.3820394612
131	0.3817634981
132	0.3813929906
133	0.3813903068
134	0.3812633036
135	0.3811264293
136	0.3810474911
137	0.3809866834
138	0.3809817582
139	0.3809808806
140	0.3809709647
141	0.3807937987
142	0.3805636387
143	0.3805182794
144	0.3804874351
145	0.3802451845
146	0.3801366576
147	0.379994905
148	0.379930989
149	0.3798367188
150	0.3797716322
151	0.3796769135
152	0.37962514
153	0.3795161442
154	0.3792696147
155	0.3791028361
156	0.378798671
157	0.3785944059
158	0.3781239193
159	0.3779334352
160	0.3777960842
161	0.3777327519
162	0.3775376697
163	0.3774345538
164	0.3774263007
165	0.3773640255
166	0.3772205772
167	0.3771950134
168	0.377175648
169	0.3771075404
170	0.376962773
171	0.3768727725
172	0.3767613062
173	0.3765918519
174	0.3764823965
175	0.3764588409
176	0.3760506515
177	0.3755556425
178	0.3752010825
179	0.3749103833
180	0.3746745815
181	0.3746274552
182	0.3744504227
183	0.3741680267
184	0.373979397
185	0.3739230916
186	0.3738058335
187	0.3735528712
188	0.3735419338
189	0.3733640202
190	0.3732544746
191	0.3731446411
192	0.3730228747
193	0.3728705084
194	0.3727850986
195	0.3724095704
196	0.3723093255
197	0.3720817301
198	0.3720675718
199	0.3719109846
200	0.3716277969
201	0.3715600405
202	0.3714576459
203	0.3714401632
204	0.3711804782
205	0.3709328524
206	0.3706511226
207	0.3704097
208	0.3700486973
209	0.3698365007
210	0.3696297539
211	0.3694879161
212	0.3689309258
213	0.368779713
214	0.3685329495
215	0.3684059352
216	0.3682912057
217	0.3682189841
218	0.3681279977
219	0.3679315574
220	0.367603453
221	0.3673245206
222	0.3672616323
223	0.3670179773
224	0.3665951104
225	0.3663115832
226	0.3663005958
227	0.3660917858
228	0.3658958326
229	0.3657116448
230	0.3656969063
231	0.3654810951
232	0.3650684208
233	0.3647803876
234	0.3644473829
235	0.3642454272
236	0.3642268288
237	0.3638768156
238	0.3633630673
239	0.3632632427
240	0.3629573106
241	0.3623853922
242	0.3623202864
243	0.3622820228
244	0.3622707826
245	0.362240073
246	0.3619845569
247	0.3618000397
248	0.3614845019
249	0.3612763225
250	0.3611836527
251	0.3608485246
252	0.3607610614
253	0.3605736572
254	0.3602987576
255	0.3602384155
256	0.3601218815
257	0.3598613632
258	0.3594731375
259	0.3590769171
260	0.3586118546
261	0.3584786686
262	0.3582690384
263	0.3579564437
264	0.3578562646
265	0.3575540678
266	0.3574104017
267	0.3568465456
268	0.3567557459
269	0.3563480224
270	0.3559885465
271	0.3558688393
272	0.3556000049
273	0.3553545659
274	0.3552303081
275	0.3552270514
276	0.3549521238
277	0.3547199984
278	0.354410309
279	0.3539537366
280	0.3534808996
281	0.3531797436
282	0.3528452332
283	0.3527712741
284	0.3524094413
285	0.352266229
286	0.3521485123
287	0.3519715441
288	0.3519174059
289	0.351728651
290	0.3517000414
291	0.3514743479
292	0.3512673733
293	0.3510157805
294	0.3507632633
295	0.350539289
296	0.3503525406
297	0.350018198
298	0.3498247919
299	0.3496572036
300	0.3494076639
301	0.3491446508
302	0.3491375451
303	0.34894694
304	0.3489010858
305	0.3487489222
306	0.3486380002
307	0.3484839181
308	0.3482933081
309	0.3482280743
310	0.3482091659
311	0.3481440417
312	0.347849259
313	0.3476451841
314	0.3474643943
315	0.3473327505
316	0.347167513
317	0.3471306305
318	0.346933303
319	0.3467985677
320	0.3465639
321	0.3463828489
322	0.3463613714
323	0.3462212673
324	0.3460442758
325	0.3458507853
326	0.3455480926
327	0.3453871625
328	0.345379879
329	0.3453614298
330	0.3451908698
331	0.3451413391
332	0.3450155389
333	0.3448590469
334	0.3447491574
335	0.3444712584
