iter	Logloss
336	0.3440047889
337	0.3438281648
338	0.3437222235
339	0.3433696068
340	0.3430961042
341	0.3428045222
342	0.3426175086
343	0.3424794267
344	0.3424297413
345	0.3424265037
346	0.3422846788
347	0.3421624107
348	0.3420083049
349	0.3419961934
350	0.3419763794
351	0.3418499865
352	0.3414569642
353	0.3413782114
354	0.3410352071
355	0.3406547942
356	0.3404430192
357	0.3403344854
358	0.3402528257
359	0.3401405288
360	0.3398290326
361	0.3398156944
362	0.3396421016
363	0.3394212837
364	0.3392583733
365	0.3390081511
366	0.3389765334
367	0.3387977416
368	0.3385201398
369	0.3385017546
370	0.3382333911
371	0.3380914531
372	0.3380687579
373	0.337943682
374	0.3376482574
375	0.3375361186
376	0.3373696399
377	0.337326444
378	0.3370574125
379	0.3369431265
380	0.3368668738
381	0.3367517394
382	0.3366474689
383	0.3365527204
384	0.3362870695
385	0.3362049234
386	0.3361856303
387	0.3360283635
388	0.3358571553
389	0.3353988538
390	0.3352684119
391	0.3352643729
392	0.3352295753
393	0.3350359973
394	0.334997426
395	0.334775751
396	0.334662813
397	0.3344959765
398	0.3343399112
399	0.3342134907
